timestamp,market,outcome,entry_price,size_usdc,tokens,market_end_ts,payout_price,pnl_usdc,settled_at,result
2026-03-18T04:24:47.955602+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.49659161484177633,5.82315,11.726235051019474,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:24:48.469054+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.5080237062414481,5.95685,11.725535495323701,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:24:48.971849+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.5123185608715956,5.95685,11.62723831411798,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:24:49.603277+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5920591623155403,7.02645,11.867817352103106,1773807900,,,,OPEN
2026-03-18T04:24:50.105858+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5868326639713359,7.02645,11.97351550346422,1773807900,,,,OPEN
2026-03-18T04:24:50.621984+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4217258170924299,4.75355,11.271659944304906,1773807900,,,,OPEN
2026-03-18T04:24:51.124119+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4164867252070966,4.75355,11.413449006415062,1773807900,,,,OPEN
2026-03-18T04:24:51.739390+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5184226254714516,6.09055,11.748233392516921,1773808200,0.0,-39.8858,2026-03-18T04:31:15.857720+00:00,LOSS
2026-03-18T04:24:52.240024+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5180731751032733,6.09055,11.756157802970407,1773808200,0.0,-39.8858,2026-03-18T04:31:15.857720+00:00,LOSS
2026-03-18T04:24:52.755785+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.4928301832299922,5.68945,11.544443083237189,1773808200,1.0,37.806363030074166,2026-03-18T04:31:15.858651+00:00,WIN
2026-03-18T04:24:53.270949+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.4851289034672145,5.68945,11.727707748059375,1773808200,1.0,37.806363030074166,2026-03-18T04:31:15.858651+00:00,WIN
2026-03-18T04:27:48.435237+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5056435250327397,5.95685,11.78073030721456,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:27:48.943690+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5108962313489005,5.95685,11.659608418469537,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:27:49.458312+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.49591614028193076,5.82315,11.742207052768055,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:27:49.960379+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.49656252268650397,5.82315,11.726922057056536,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:27:50.592668+00:00,"March 18, 12:30AM-12:35AM ET",Up,0.5119140102143834,5.95685,11.636426980197989,1773808500,,,,OPEN
2026-03-18T04:27:51.095270+00:00,"March 18, 12:30AM-12:35AM ET",Up,0.5063818152915526,5.95685,11.763554338084408,1773808500,,,,OPEN
2026-03-18T04:27:51.611416+00:00,"March 18, 12:30AM-12:35AM ET",Down,0.49745798830237287,5.82315,11.70581262524722,1773808500,,,,OPEN
2026-03-18T04:27:52.112067+00:00,"March 18, 12:30AM-12:35AM ET",Down,0.4992194337140921,5.82315,11.664509846255255,1773808500,,,,OPEN
2026-03-18T04:27:52.728156+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5131485182103072,6.0237,11.738706799755906,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:27:53.229379+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5110680296769332,6.0237,11.786493480736457,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:27:53.745372+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.5008572975797524,5.7563,11.492894338997656,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:27:54.259459+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.49408523523383435,5.7563,11.650418975332732,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
